iter	Passed	Remaining
0	156	156422
1	160	80333
2	168	55914
3	179	44579
4	180	35923
5	182	30161
6	183	26038
7	185	23038
8	187	20667
9	194	19262
10	197	17801
11	200	16487
12	202	15340
13	203	14315
14	204	13423
15	205	12645
16	208	12052
17	210	11495
18	212	10986
19	213	10484
20	215	10025
21	227	10134
22	230	9780
23	232	9460
24	236	9205
25	238	8945
26	241	8707
27	242	8432
28	243	8168
29	255	8261
30	258	8069
31	259	7851
32	263	7733
33	272	7730
34	284	7842
35	288	7716
36	298	7758
37	299	7571
38	300	7400
39	301	7237
40	302	7076
41	307	7015
42	312	6949
43	315	6848
44	316	6713
45	317	6582
46	320	6504
47	323	6409
48	327	6354
49	334	6348
50	335	6240
51	336	6135
52	337	6032
53	338	5937
54	349	6004
55	351	5917
56	352	5824
57	352	5732
58	354	5657
59	356	5581
60	369	5691
61	387	5862
62	401	5975
63	404	5922
64	411	5925
65	414	5869
66	416	5795
67	417	5725
68	420	5670
69	427	5680
70	429	5616
71	432	5573
72	434	5522
73	440	5515
74	441	5449
75	443	5386
76	444	5323
77	445	5261
78	446	5202
79	450	5180
80	456	5175
81	460	5152
82	461	5094
83	462	5044
84	466	5019
85	467	4972
86	469	4928
87	470	4879
88	476	4872
89	477	4827
90	478	4781
91	479	4735
92	496	4844
93	498	4802
94	499	4757
95	508	4786
96	509	4744
97	511	4707
98	513	4676
99	514	4634
100	527	4691
101	529	4658
102	531	4627
103	541	4662
104	542	4627
105	543	4588
106	545	4549
107	546	4510
108	561	4587
109	563	4555
110	566	4537
111	569	4518
112	571	4483
113	572	4448
114	573	4414
115	578	4410
116	580	4379
117	581	4350
118	584	4327
119	585	4294
120	586	4262
121	587	4228
122	588	4196
123	589	4164
124	596	4178
125	598	4148
126	598	4116
127	600	4089
128	601	4060
129	602	4031
130	603	4003
131	604	3974
132	609	3972
133	611	3953
134	614	3934
135	615	3910
136	616	3886
137	618	3860
138	619	3835
139	627	3855
140	628	3831
141	629	3805
142	631	3782
143	632	3757
144	633	3733
145	634	3710
146	635	3686
147	641	3692
148	644	3678
149	645	3656
150	646	3633
151	647	3610
152	648	3587
153	649	3570
154	651	3551
155	652	3532
156	654	3512
157	655	3492
158	656	3473
159	658	3457
160	659	3435
161	665	3443
162	667	3426
163	668	3406
164	669	3387
165	670	3368
166	671	3348
167	672	3328
168	673	3309
169	673	3289
170	676	3278
171	679	3270
172	680	3253
173	681	3234
174	682	3216
175	683	3199
176	684	3181
177	685	3163
178	686	3146
179	687	3130
180	687	3113
181	688	3096
182	693	3097
183	694	3081
184	695	3065
185	696	3049
186	698	3035
187	699	3020
188	701	3009
189	702	2993
190	703	2978
191	704	2962
192	709	2967
193	710	2952
194	711	2937
195	712	2922
196	713	2908
197	714	2893
198	715	2878
199	716	2864
200	716	2850
201	717	2835
202	718	2821
203	719	2808
204	722	2802
205	723	2789
206	724	2775
207	725	2762
208	726	2748
209	727	2735
210	728	2722
211	729	2709
212	729	2696
213	730	2683
214	731	2671
215	732	2658
216	733	2646
217	734	2634
218	739	2636
219	740	2624
220	741	2612
221	742	2603
222	744	2592
223	745	2581
224	745	2569
225	746	2557
226	747	2546
227	748	2535
228	749	2523
229	751	2516
230	752	2505
231	753	2494
232	754	2483
